Destination,Amount,Currency,Subrate
*Exceptional,12.75,EUR,1 meal (no destination)
*Exceptional,15.5,EUR,2+ Meals (no destination)
*Exceptional,18,EUR,Travel (no destination)
*Finland,51,EUR,Full day (over 10 hours)
*Finland,24,EUR,Partial day (over 6 hours)
*Finland,51,EUR,Final day (over 6 hours)
*Finland,24,EUR,Final day (over 2 hours)
*Finland,16,EUR,Night Travel supplement
*Finland,-24,EUR,1 meal
*Finland,-51,EUR,2+ Meals
Afghanistan,59,EUR,Full day (over 24 hours)
Afghanistan,59,EUR,Final day (over 10 hours)
Afghanistan,29.5,EUR,Final day (over 2 hours)
Afghanistan,-29.5,EUR,2+ Meals
Afghanistan,16,EUR,Night Travel supplement
Albania,81,EUR,Full day (over 24 hours)
Albania,81,EUR,Final day (over 10 hours)
Albania,40.5,EUR,Final day (over 2 hours)
Albania,-40.5,EUR,2+ Meals
Albania,16,EUR,Night Travel supplement
Algeria,78,EUR,Full day (over 24 hours)
Algeria,78,EUR,Final day (over 10 hours)
Algeria,39,EUR,Final day (over 2 hours)
Algeria,-39,EUR,2+ Meals
Algeria,16,EUR,Night Travel supplement
Andorra,63,EUR,Full day (over 24 hours)
Andorra,63,EUR,Final day (over 10 hours)
Andorra,31.5,EUR,Final day (over 2 hours)
Andorra,-31.5,EUR,2+ Meals
Andorra,16,EUR,Night Travel supplement
Angola,71,EUR,Full day (over 24 hours)
Angola,71,EUR,Final day (over 10 hours)
Angola,35.5,EUR,Final day (over 2 hours)
Angola,-35.5,EUR,2+ Meals
Angola,16,EUR,Night Travel supplement
Antiqua and Barbuda,94,EUR,Full day (over 24 hours)
Antiqua and Barbuda,94,EUR,Final day (over 10 hours)
Antiqua and Barbuda,47,EUR,Final day (over 2 hours)
Antiqua and Barbuda,-47,EUR,2+ Meals
Antiqua and Barbuda,16,EUR,Night Travel supplement
"Any other country, not specified above",52,EUR,Full day (over 24 hours)
"Any other country, not specified above",52,EUR,Final day (over 10 hours)
"Any other country, not specified above",26,EUR,Final day (over 2 hours)
"Any other country, not specified above",-26,EUR,2+ Meals
"Any other country, not specified above",16,EUR,Night Travel supplement
Argentina,38,EUR,Full day (over 24 hours)
Argentina,38,EUR,Final day (over 10 hours)
Argentina,19,EUR,Final day (over 2 hours)
Argentina,-19,EUR,2+ Meals
Argentina,16,EUR,Night Travel supplement
Armenia,61,EUR,Full day (over 24 hours)
Armenia,61,EUR,Final day (over 10 hours)
Armenia,30.5,EUR,Final day (over 2 hours)
Armenia,-30.5,EUR,2+ Meals
Armenia,16,EUR,Night Travel supplement
Aruba,70,EUR,Full day (over 24 hours)
Aruba,70,EUR,Final day (over 10 hours)
Aruba,35,EUR,Final day (over 2 hours)
Aruba,-35,EUR,2+ Meals
Aruba,16,EUR,Night Travel supplement
Australia,74,EUR,Full day (over 24 hours)
Australia,74,EUR,Final day (over 10 hours)
Australia,37,EUR,Final day (over 2 hours)
Australia,-37,EUR,2+ Meals
Australia,16,EUR,Night Travel supplement
Austria,80,EUR,Full day (over 24 hours)
Austria,80,EUR,Final day (over 10 hours)
Austria,40,EUR,Final day (over 2 hours)
Austria,-40,EUR,2+ Meals
Austria,16,EUR,Night Travel supplement
Azerbaidzhan,70,EUR,Full day (over 24 hours)
Azerbaidzhan,70,EUR,Final day (over 10 hours)
Azerbaidzhan,35,EUR,Final day (over 2 hours)
Azerbaidzhan,-35,EUR,2+ Meals
Azerbaidzhan,16,EUR,Night Travel supplement
Azores,69,EUR,Full day (over 24 hours)
Azores,69,EUR,Final day (over 10 hours)
Azores,34.5,EUR,Final day (over 2 hours)
Azores,-34.5,EUR,2+ Meals
Azores,16,EUR,Night Travel supplement
Bahamas,91,EUR,Full day (over 24 hours)
Bahamas,91,EUR,Final day (over 10 hours)
Bahamas,45.5,EUR,Final day (over 2 hours)
Bahamas,-45.5,EUR,2+ Meals
Bahamas,16,EUR,Night Travel supplement
Bahrain,80,EUR,Full day (over 24 hours)
Bahrain,80,EUR,Final day (over 10 hours)
Bahrain,40,EUR,Final day (over 2 hours)
Bahrain,-40,EUR,2+ Meals
Bahrain,16,EUR,Night Travel supplement
Bangladesh,57,EUR,Full day (over 24 hours)
Bangladesh,57,EUR,Final day (over 10 hours)
Bangladesh,28.5,EUR,Final day (over 2 hours)
Bangladesh,-28.5,EUR,2+ Meals
Bangladesh,16,EUR,Night Travel supplement
Barbados,83,EUR,Full day (over 24 hours)
Barbados,83,EUR,Final day (over 10 hours)
Barbados,41.5,EUR,Final day (over 2 hours)
Barbados,-41.5,EUR,2+ Meals
Barbados,16,EUR,Night Travel supplement
Belarus,63,EUR,Full day (over 24 hours)
Belarus,63,EUR,Final day (over 10 hours)
Belarus,31.5,EUR,Final day (over 2 hours)
Belarus,-31.5,EUR,2+ Meals
Belarus,16,EUR,Night Travel supplement
Belgium,77,EUR,Full day (over 24 hours)
Belgium,77,EUR,Final day (over 10 hours)
Belgium,38.5,EUR,Final day (over 2 hours)
Belgium,-38.5,EUR,2+ Meals
Belgium,16,EUR,Night Travel supplement
Belize,52,EUR,Full day (over 24 hours)
Belize,52,EUR,Final day (over 10 hours)
Belize,26,EUR,Final day (over 2 hours)
Belize,-26,EUR,2+ Meals
Belize,16,EUR,Night Travel supplement
Benin,47,EUR,Full day (over 24 hours)
Benin,47,EUR,Final day (over 10 hours)
Benin,23.5,EUR,Final day (over 2 hours)
Benin,-23.5,EUR,2+ Meals
Benin,16,EUR,Night Travel supplement
Bermuda,90,EUR,Full day (over 24 hours)
Bermuda,90,EUR,Final day (over 10 hours)
Bermuda,45,EUR,Final day (over 2 hours)
Bermuda,-45,EUR,2+ Meals
Bermuda,16,EUR,Night Travel supplement
Bhutan,49,EUR,Full day (over 24 hours)
Bhutan,49,EUR,Final day (over 10 hours)
Bhutan,24.5,EUR,Final day (over 2 hours)
Bhutan,-24.5,EUR,2+ Meals
Bhutan,16,EUR,Night Travel supplement
Bolivia,48,EUR,Full day (over 24 hours)
Bolivia,48,EUR,Final day (over 10 hours)
Bolivia,24,EUR,Final day (over 2 hours)
Bolivia,-24,EUR,2+ Meals
Bolivia,16,EUR,Night Travel supplement
Bosnia and Hercegovina,54,EUR,Full day (over 24 hours)
Bosnia and Hercegovina,54,EUR,Final day (over 10 hours)
Bosnia and Hercegovina,27,EUR,Final day (over 2 hours)
Bosnia and Hercegovina,-27,EUR,2+ Meals
Bosnia and Hercegovina,16,EUR,Night Travel supplement
Botswana,41,EUR,Full day (over 24 hours)
Botswana,41,EUR,Final day (over 10 hours)
Botswana,20.5,EUR,Final day (over 2 hours)
Botswana,-20.5,EUR,2+ Meals
Botswana,16,EUR,Night Travel supplement
Brazil,80,EUR,Full day (over 24 hours)
Brazil,80,EUR,Final day (over 10 hours)
Brazil,40,EUR,Final day (over 2 hours)
Brazil,-40,EUR,2+ Meals
Brazil,16,EUR,Night Travel supplement
Brunei,45,EUR,Full day (over 24 hours)
Brunei,45,EUR,Final day (over 10 hours)
Brunei,22.5,EUR,Final day (over 2 hours)
Brunei,-22.5,EUR,2+ Meals
Brunei,16,EUR,Night Travel supplement
Bulgaria,64,EUR,Full day (over 24 hours)
Bulgaria,64,EUR,Final day (over 10 hours)
Bulgaria,32,EUR,Final day (over 2 hours)
Bulgaria,-32,EUR,2+ Meals
Bulgaria,16,EUR,Night Travel supplement
Burkina Faso,40,EUR,Full day (over 24 hours)
Burkina Faso,40,EUR,Final day (over 10 hours)
Burkina Faso,20,EUR,Final day (over 2 hours)
Burkina Faso,-20,EUR,2+ Meals
Burkina Faso,16,EUR,Night Travel supplement
Burundi,46,EUR,Full day (over 24 hours)
Burundi,46,EUR,Final day (over 10 hours)
Burundi,23,EUR,Final day (over 2 hours)
Burundi,-23,EUR,2+ Meals
Burundi,16,EUR,Night Travel supplement
Cambodia,67,EUR,Full day (over 24 hours)
Cambodia,67,EUR,Final day (over 10 hours)
Cambodia,33.5,EUR,Final day (over 2 hours)
Cambodia,-33.5,EUR,2+ Meals
Cambodia,16,EUR,Night Travel supplement
Cameroon,59,EUR,Full day (over 24 hours)
Cameroon,59,EUR,Final day (over 10 hours)
Cameroon,29.5,EUR,Final day (over 2 hours)
Cameroon,-29.5,EUR,2+ Meals
Cameroon,16,EUR,Night Travel supplement
Canada,82,EUR,Full day (over 24 hours)
Canada,82,EUR,Final day (over 10 hours)
Canada,41,EUR,Final day (over 2 hours)
Canada,-41,EUR,2+ Meals
Canada,16,EUR,Night Travel supplement
Canary Islands,71,EUR,Full day (over 24 hours)
Canary Islands,71,EUR,Final day (over 10 hours)
Canary Islands,35.5,EUR,Final day (over 2 hours)
Canary Islands,-35.5,EUR,2+ Meals
Canary Islands,16,EUR,Night Travel supplement
Cape Verde,45,EUR,Full day (over 24 hours)
Cape Verde,45,EUR,Final day (over 10 hours)
Cape Verde,22.5,EUR,Final day (over 2 hours)
Cape Verde,-22.5,EUR,2+ Meals
Cape Verde,16,EUR,Night Travel supplement
Central African Republic,101,EUR,Full day (over 24 hours)
Central African Republic,101,EUR,Final day (over 10 hours)
Central African Republic,50.5,EUR,Final day (over 2 hours)
Central African Republic,-50.5,EUR,2+ Meals
Central African Republic,16,EUR,Night Travel supplement
Chad,47,EUR,Full day (over 24 hours)
Chad,47,EUR,Final day (over 10 hours)
Chad,23.5,EUR,Final day (over 2 hours)
Chad,-23.5,EUR,2+ Meals
Chad,16,EUR,Night Travel supplement
Chile,56,EUR,Full day (over 24 hours)
Chile,56,EUR,Final day (over 10 hours)
Chile,28,EUR,Final day (over 2 hours)
Chile,-28,EUR,2+ Meals
Chile,16,EUR,Night Travel supplement
China,74,EUR,Full day (over 24 hours)
China,74,EUR,Final day (over 10 hours)
China,37,EUR,Final day (over 2 hours)
China,-37,EUR,2+ Meals
China,16,EUR,Night Travel supplement
Colombia,64,EUR,Full day (over 24 hours)
Colombia,64,EUR,Final day (over 10 hours)
Colombia,32,EUR,Final day (over 2 hours)
Colombia,-32,EUR,2+ Meals
Colombia,16,EUR,Night Travel supplement
Comoros,42,EUR,Full day (over 24 hours)
Comoros,42,EUR,Final day (over 10 hours)
Comoros,21,EUR,Final day (over 2 hours)
Comoros,-21,EUR,2+ Meals
Comoros,16,EUR,Night Travel supplement
Congo (Congo-Brazzaville),64,EUR,Full day (over 24 hours)
Congo (Congo-Brazzaville),64,EUR,Final day (over 10 hours)
Congo (Congo-Brazzaville),32,EUR,Final day (over 2 hours)
Congo (Congo-Brazzaville),-32,EUR,2+ Meals
Congo (Congo-Brazzaville),16,EUR,Night Travel supplement
"Congo, Democratic Republic of (Congo-Kinshasa)",51,EUR,Full day (over 24 hours)
"Congo, Democratic Republic of (Congo-Kinshasa)",51,EUR,Final day (over 10 hours)
"Congo, Democratic Republic of (Congo-Kinshasa)",25.5,EUR,Final day (over 2 hours)
"Congo, Democratic Republic of (Congo-Kinshasa)",-25.5,EUR,2+ Meals
"Congo, Democratic Republic of (Congo-Kinshasa)",16,EUR,Night Travel supplement
Cook Islands,70,EUR,Full day (over 24 hours)
Cook Islands,70,EUR,Final day (over 10 hours)
Cook Islands,35,EUR,Final day (over 2 hours)
Cook Islands,-35,EUR,2+ Meals
Cook Islands,16,EUR,Night Travel supplement
Costa Rica,65,EUR,Full day (over 24 hours)
Costa Rica,65,EUR,Final day (over 10 hours)
Costa Rica,32.5,EUR,Final day (over 2 hours)
Costa Rica,-32.5,EUR,2+ Meals
Costa Rica,16,EUR,Night Travel supplement
"Côte d’Ivoire, Ivory Coast",80,EUR,Full day (over 24 hours)
"Côte d’Ivoire, Ivory Coast",80,EUR,Final day (over 10 hours)
"Côte d’Ivoire, Ivory Coast",40,EUR,Final day (over 2 hours)
"Côte d’Ivoire, Ivory Coast",-40,EUR,2+ Meals
"Côte d’Ivoire, Ivory Coast",16,EUR,Night Travel supplement
Croatia,69,EUR,Full day (over 24 hours)
Croatia,69,EUR,Final day (over 10 hours)
Croatia,34.5,EUR,Final day (over 2 hours)
Croatia,-34.5,EUR,2+ Meals
Croatia,16,EUR,Night Travel supplement
Cuba,68,EUR,Full day (over 24 hours)
Cuba,68,EUR,Final day (over 10 hours)
Cuba,34,EUR,Final day (over 2 hours)
Cuba,-34,EUR,2+ Meals
Cuba,16,EUR,Night Travel supplement
Curaçao,58,EUR,Full day (over 24 hours)
Curaçao,58,EUR,Final day (over 10 hours)
Curaçao,29,EUR,Final day (over 2 hours)
Curaçao,-29,EUR,2+ Meals
Curaçao,16,EUR,Night Travel supplement
Cyprus,65,EUR,Full day (over 24 hours)
Cyprus,65,EUR,Final day (over 10 hours)
Cyprus,32.5,EUR,Final day (over 2 hours)
Cyprus,-32.5,EUR,2+ Meals
Cyprus,16,EUR,Night Travel supplement
Czech Republic,89,EUR,Full day (over 24 hours)
Czech Republic,89,EUR,Final day (over 10 hours)
Czech Republic,44.5,EUR,Final day (over 2 hours)
Czech Republic,-44.5,EUR,2+ Meals
Czech Republic,16,EUR,Night Travel supplement
Denmark,79,EUR,Full day (over 24 hours)
Denmark,79,EUR,Final day (over 10 hours)
Denmark,39.5,EUR,Final day (over 2 hours)
Denmark,-39.5,EUR,2+ Meals
Denmark,16,EUR,Night Travel supplement
Djibouti,83,EUR,Full day (over 24 hours)
Djibouti,83,EUR,Final day (over 10 hours)
Djibouti,41.5,EUR,Final day (over 2 hours)
Djibouti,-41.5,EUR,2+ Meals
Djibouti,16,EUR,Night Travel supplement
Dominica,61,EUR,Full day (over 24 hours)
Dominica,61,EUR,Final day (over 10 hours)
Dominica,30.5,EUR,Final day (over 2 hours)
Dominica,-30.5,EUR,2+ Meals
Dominica,16,EUR,Night Travel supplement
Dominican Republic,53,EUR,Full day (over 24 hours)
Dominican Republic,53,EUR,Final day (over 10 hours)
Dominican Republic,26.5,EUR,Final day (over 2 hours)
Dominican Republic,-26.5,EUR,2+ Meals
Dominican Republic,16,EUR,Night Travel supplement
East Timor,46,EUR,Full day (over 24 hours)
East Timor,46,EUR,Final day (over 10 hours)
East Timor,23,EUR,Final day (over 2 hours)
East Timor,-23,EUR,2+ Meals
East Timor,16,EUR,Night Travel supplement
Ecuador,63,EUR,Full day (over 24 hours)
Ecuador,63,EUR,Final day (over 10 hours)
Ecuador,31.5,EUR,Final day (over 2 hours)
Ecuador,-31.5,EUR,2+ Meals
Ecuador,16,EUR,Night Travel supplement
Egypt,66,EUR,Full day (over 24 hours)
Egypt,66,EUR,Final day (over 10 hours)
Egypt,33,EUR,Final day (over 2 hours)
Egypt,-33,EUR,2+ Meals
Egypt,16,EUR,Night Travel supplement
El Salvador,60,EUR,Full day (over 24 hours)
El Salvador,60,EUR,Final day (over 10 hours)
El Salvador,30,EUR,Final day (over 2 hours)
El Salvador,-30,EUR,2+ Meals
El Salvador,16,EUR,Night Travel supplement
Eritrea,95,EUR,Full day (over 24 hours)
Eritrea,95,EUR,Final day (over 10 hours)
Eritrea,47.5,EUR,Final day (over 2 hours)
Eritrea,-47.5,EUR,2+ Meals
Eritrea,16,EUR,Night Travel supplement
Estonia,75,EUR,Full day (over 24 hours)
Estonia,75,EUR,Final day (over 10 hours)
Estonia,37.5,EUR,Final day (over 2 hours)
Estonia,-37.5,EUR,2+ Meals
Estonia,16,EUR,Night Travel supplement
Eswatini,37,EUR,Full day (over 24 hours)
Eswatini,37,EUR,Final day (over 10 hours)
Eswatini,18.5,EUR,Final day (over 2 hours)
Eswatini,-18.5,EUR,2+ Meals
Eswatini,16,EUR,Night Travel supplement
Ethiopia,49,EUR,Full day (over 24 hours)
Ethiopia,49,EUR,Final day (over 10 hours)
Ethiopia,24.5,EUR,Final day (over 2 hours)
Ethiopia,-24.5,EUR,2+ Meals
Ethiopia,16,EUR,Night Travel supplement
Faroe Islands,61,EUR,Full day (over 24 hours)
Faroe Islands,61,EUR,Final day (over 10 hours)
Faroe Islands,30.5,EUR,Final day (over 2 hours)
Faroe Islands,-30.5,EUR,2+ Meals
Faroe Islands,16,EUR,Night Travel supplement
Fiji,52,EUR,Full day (over 24 hours)
Fiji,52,EUR,Final day (over 10 hours)
Fiji,26,EUR,Final day (over 2 hours)
Fiji,-26,EUR,2+ Meals
Fiji,16,EUR,Night Travel supplement
France,78,EUR,Full day (over 24 hours)
France,78,EUR,Final day (over 10 hours)
France,39,EUR,Final day (over 2 hours)
France,-39,EUR,2+ Meals
France,16,EUR,Night Travel supplement
Gabon,92,EUR,Full day (over 24 hours)
Gabon,92,EUR,Final day (over 10 hours)
Gabon,46,EUR,Final day (over 2 hours)
Gabon,-46,EUR,2+ Meals
Gabon,16,EUR,Night Travel supplement
Gambia,46,EUR,Full day (over 24 hours)
Gambia,46,EUR,Final day (over 10 hours)
Gambia,23,EUR,Final day (over 2 hours)
Gambia,-23,EUR,2+ Meals
Gambia,16,EUR,Night Travel supplement
Georgia,49,EUR,Full day (over 24 hours)
Georgia,49,EUR,Final day (over 10 hours)
Georgia,24.5,EUR,Final day (over 2 hours)
Georgia,-24.5,EUR,2+ Meals
Georgia,16,EUR,Night Travel supplement
Germany,76,EUR,Full day (over 24 hours)
Germany,76,EUR,Final day (over 10 hours)
Germany,38,EUR,Final day (over 2 hours)
Germany,-38,EUR,2+ Meals
Germany,16,EUR,Night Travel supplement
Ghana,47,EUR,Full day (over 24 hours)
Ghana,47,EUR,Final day (over 10 hours)
Ghana,23.5,EUR,Final day (over 2 hours)
Ghana,-23.5,EUR,2+ Meals
Ghana,16,EUR,Night Travel supplement
Greece,68,EUR,Full day (over 24 hours)
Greece,68,EUR,Final day (over 10 hours)
Greece,34,EUR,Final day (over 2 hours)
Greece,-34,EUR,2+ Meals
Greece,16,EUR,Night Travel supplement
Greenland,63,EUR,Full day (over 24 hours)
Greenland,63,EUR,Final day (over 10 hours)
Greenland,31.5,EUR,Final day (over 2 hours)
Greenland,-31.5,EUR,2+ Meals
Greenland,16,EUR,Night Travel supplement
Grenada,73,EUR,Full day (over 24 hours)
Grenada,73,EUR,Final day (over 10 hours)
Grenada,36.5,EUR,Final day (over 2 hours)
Grenada,-36.5,EUR,2+ Meals
Grenada,16,EUR,Night Travel supplement
Guadeloupe,53,EUR,Full day (over 24 hours)
Guadeloupe,53,EUR,Final day (over 10 hours)
Guadeloupe,26.5,EUR,Final day (over 2 hours)
Guadeloupe,-26.5,EUR,2+ Meals
Guadeloupe,16,EUR,Night Travel supplement
Guatemala,76,EUR,Full day (over 24 hours)
Guatemala,76,EUR,Final day (over 10 hours)
Guatemala,38,EUR,Final day (over 2 hours)
Guatemala,-38,EUR,2+ Meals
Guatemala,16,EUR,Night Travel supplement
Guinea,83,EUR,Full day (over 24 hours)
Guinea,83,EUR,Final day (over 10 hours)
Guinea,41.5,EUR,Final day (over 2 hours)
Guinea,-41.5,EUR,2+ Meals
Guinea,16,EUR,Night Travel supplement
Guinea-Bissau,41,EUR,Full day (over 24 hours)
Guinea-Bissau,41,EUR,Final day (over 10 hours)
Guinea-Bissau,20.5,EUR,Final day (over 2 hours)
Guinea-Bissau,-20.5,EUR,2+ Meals
Guinea-Bissau,16,EUR,Night Travel supplement
Guyana,51,EUR,Full day (over 24 hours)
Guyana,51,EUR,Final day (over 10 hours)
Guyana,25.5,EUR,Final day (over 2 hours)
Guyana,-25.5,EUR,2+ Meals
Guyana,16,EUR,Night Travel supplement
Haiti,62,EUR,Full day (over 24 hours)
Haiti,62,EUR,Final day (over 10 hours)
Haiti,31,EUR,Final day (over 2 hours)
Haiti,-31,EUR,2+ Meals
Haiti,16,EUR,Night Travel supplement
Honduras,58,EUR,Full day (over 24 hours)
Honduras,58,EUR,Final day (over 10 hours)
Honduras,29,EUR,Final day (over 2 hours)
Honduras,-29,EUR,2+ Meals
Honduras,16,EUR,Night Travel supplement
Hong Kong,86,EUR,Full day (over 24 hours)
Hong Kong,86,EUR,Final day (over 10 hours)
Hong Kong,43,EUR,Final day (over 2 hours)
Hong Kong,-43,EUR,2+ Meals
Hong Kong,16,EUR,Night Travel supplement
Hungary,69,EUR,Full day (over 24 hours)
Hungary,69,EUR,Final day (over 10 hours)
Hungary,34.5,EUR,Final day (over 2 hours)
Hungary,-34.5,EUR,2+ Meals
Hungary,16,EUR,Night Travel supplement
Iceland,92,EUR,Full day (over 24 hours)
Iceland,92,EUR,Final day (over 10 hours)
Iceland,46,EUR,Final day (over 2 hours)
Iceland,-46,EUR,2+ Meals
Iceland,16,EUR,Night Travel supplement
India,62,EUR,Full day (over 24 hours)
India,62,EUR,Final day (over 10 hours)
India,31,EUR,Final day (over 2 hours)
India,-31,EUR,2+ Meals
India,16,EUR,Night Travel supplement
Indonesia,57,EUR,Full day (over 24 hours)
Indonesia,57,EUR,Final day (over 10 hours)
Indonesia,28.5,EUR,Final day (over 2 hours)
Indonesia,-28.5,EUR,2+ Meals
Indonesia,16,EUR,Night Travel supplement
Iran,102,EUR,Full day (over 24 hours)
Iran,102,EUR,Final day (over 10 hours)
Iran,51,EUR,Final day (over 2 hours)
Iran,-51,EUR,2+ Meals
Iran,16,EUR,Night Travel supplement
Iraq,70,EUR,Full day (over 24 hours)
Iraq,70,EUR,Final day (over 10 hours)
Iraq,35,EUR,Final day (over 2 hours)
Iraq,-35,EUR,2+ Meals
Iraq,16,EUR,Night Travel supplement
Ireland,78,EUR,Full day (over 24 hours)
Ireland,78,EUR,Final day (over 10 hours)
Ireland,39,EUR,Final day (over 2 hours)
Ireland,-39,EUR,2+ Meals
Ireland,16,EUR,Night Travel supplement
Israel,88,EUR,Full day (over 24 hours)
Israel,88,EUR,Final day (over 10 hours)
Israel,44,EUR,Final day (over 2 hours)
Israel,-44,EUR,2+ Meals
Israel,16,EUR,Night Travel supplement
Istanbul,37,EUR,Full day (over 24 hours)
Istanbul,37,EUR,Final day (over 10 hours)
Istanbul,18.5,EUR,Final day (over 2 hours)
Istanbul,-18.5,EUR,2+ Meals
Istanbul,16,EUR,Night Travel supplement
Italy,76,EUR,Full day (over 24 hours)
Italy,76,EUR,Final day (over 10 hours)
Italy,38,EUR,Final day (over 2 hours)
Italy,-38,EUR,2+ Meals
Italy,16,EUR,Night Travel supplement
"Ivory Coast, Côte d’Ivoire",80,EUR,Full day (over 24 hours)
"Ivory Coast, Côte d’Ivoire",80,EUR,Final day (over 10 hours)
"Ivory Coast, Côte d’Ivoire",40,EUR,Final day (over 2 hours)
"Ivory Coast, Côte d’Ivoire",-40,EUR,2+ Meals
"Ivory Coast, Côte d’Ivoire",16,EUR,Night Travel supplement
Jamaica,62,EUR,Full day (over 24 hours)
Jamaica,62,EUR,Final day (over 10 hours)
Jamaica,31,EUR,Final day (over 2 hours)
Jamaica,-31,EUR,2+ Meals
Jamaica,16,EUR,Night Travel supplement
Japan,66,EUR,Full day (over 24 hours)
Japan,66,EUR,Final day (over 10 hours)
Japan,33,EUR,Final day (over 2 hours)
Japan,-33,EUR,2+ Meals
Japan,16,EUR,Night Travel supplement
Jordania,90,EUR,Full day (over 24 hours)
Jordania,90,EUR,Final day (over 10 hours)
Jordania,45,EUR,Final day (over 2 hours)
Jordania,-45,EUR,2+ Meals
Jordania,16,EUR,Night Travel supplement
Kazakhstan,59,EUR,Full day (over 24 hours)
Kazakhstan,59,EUR,Final day (over 10 hours)
Kazakhstan,29.5,EUR,Final day (over 2 hours)
Kazakhstan,-29.5,EUR,2+ Meals
Kazakhstan,16,EUR,Night Travel supplement
Kenya,70,EUR,Full day (over 24 hours)
Kenya,70,EUR,Final day (over 10 hours)
Kenya,35,EUR,Final day (over 2 hours)
Kenya,-35,EUR,2+ Meals
Kenya,16,EUR,Night Travel supplement
"Korea, Democratic People's Republic (North Korea)",70,EUR,Full day (over 24 hours)
"Korea, Democratic People's Republic (North Korea)",70,EUR,Final day (over 10 hours)
"Korea, Democratic People's Republic (North Korea)",35,EUR,Final day (over 2 hours)
"Korea, Democratic People's Republic (North Korea)",-35,EUR,2+ Meals
"Korea, Democratic People's Republic (North Korea)",16,EUR,Night Travel supplement
"Korea, Republic of (South Korea)",87,EUR,Full day (over 24 hours)
"Korea, Republic of (South Korea)",87,EUR,Final day (over 10 hours)
"Korea, Republic of (South Korea)",43.5,EUR,Final day (over 2 hours)
"Korea, Republic of (South Korea)",-43.5,EUR,2+ Meals
"Korea, Republic of (South Korea)",16,EUR,Night Travel supplement
Kosovo,58,EUR,Full day (over 24 hours)
Kosovo,58,EUR,Final day (over 10 hours)
Kosovo,29,EUR,Final day (over 2 hours)
Kosovo,-29,EUR,2+ Meals
Kosovo,16,EUR,Night Travel supplement
Kuwait,84,EUR,Full day (over 24 hours)
Kuwait,84,EUR,Final day (over 10 hours)
Kuwait,42,EUR,Final day (over 2 hours)
Kuwait,-42,EUR,2+ Meals
Kuwait,16,EUR,Night Travel supplement
Kyrgystan,41,EUR,Full day (over 24 hours)
Kyrgystan,41,EUR,Final day (over 10 hours)
Kyrgystan,20.5,EUR,Final day (over 2 hours)
